BEZEICHNUNG;Gesamtfahrzeit;FahrzeitProStation;MinWT;MaxWT;MinWE;MaxWE;NightWT;NightWE
D;43;;7;15;10;15;;
N20;19;;;;;;30;30
N23;12;;;;;;;30
N25;59;;;;;;30;
N26;26;;;;;;30;30
N29;39;;;;;;30;30
N31;34;;;;;;30;30
N35;23;;;;;;;30
N38;36;;;;;;30;30
N41;23;;;;;;30;30
N43;21;;;;;;30;30
N46;23;;;;;;30;30
N49;31;;;;;;30;
N6;29;;;;;;30;30
N60;48;;;;;;30;
N62;28;;;;;;30;30
N64;47;;;;;;30;
N66;71;;;;;;30;
N67;28;;;;;;30;30
N71;53;;;;;;30;30
N75;21;;;;;;30;
O;33;;5;15;10;15;;
S1;;3;5;15;10;30;;
S2;;3;5;15;10;30;;
S3;;3;5;15;10;30;;
S40;;3;5;15;10;30;;
S45;;3;5;15;10;30;;
S5;;3;5;15;10;30;;
S50;;3;5;15;10;30;;
S6;;3;5;15;10;30;;
S60;;3;5;15;10;30;;
S7;;3;5;15;10;30;;
S80;;3;5;15;10;30;;
U1;26;;2;8;5;8;;15
U2;31;;4;8;5;8;;15
U3;25;;3;8;5;8;;15
U4;29;;3;8;5;8;;15
U6;34;;3;8;5;8;;15
WLB;62;;7;15;7;30;;
1;45;;6;15;10;15;;
1A;7;;6;7;10;999;;
10;12;;30;999;999;999;;
10A;41;;8;15;10;15;;
11A;26;;7;15;7;15;;
11B;14;;7;10;999;999;;
12A;29;;10;10;10;15;;
13A;22;;4;10;6;10;;
14A;19;;4;10;7;15;;
15A;33;;6;15;10;15;;
16A;30;;60;999;999;999;;
17A;22;;60;999;999;999;;
18;31;;6;15;7;15;;
19A;23;;10;999;15;999;;
2;59;;6;15;10;15;;
2A;13;;10;999;10;999;;
2B;7;;15;999;15;999;;
22A;19;;8;30;15;30;;
24A;15;;7;30;10;30;;
25;31;;6;15;10;15;;
25A;18;;15;999;60;999;;
26;34;;5;15;10;15;;
26A;26;;4;15;10;15;;
27A;25;;7;30;15;30;;
28A;20;;15;999;999;999;;
29A;21;;6;15;10;15;;
3A;10;;10;999;10;999;;
30;17;;6;8;999;999;;
30A;18;;15;999;15;999;;
31;39;;5;15;7;15;;
31A;16;;7;15;10;15;;
32A;28;;7;15;15;15;;
33;26;;7;10;999;999;;
33A;7;;20;999;20;999;;
35A;21;;5;15;10;15;;
36A;12;;15;999;15;999;;
37;22;;7;15;10;15;;
37A;26;;10;15;15;15;;
38;22;;7;15;10;15;;
38A;30;;7;15;10;30;;
39A;14;;7;15;10;15;;
4A;12;;7;15;10;15;;
40;19;;7;15;10;15;;
40A;26;;4;15;10;15;;
41;22;;7;15;10;15;;
41A;7;;15;30;10;30;;
42;14;;7;15;10;15;;
42A;14;;15;999;20;999;;
43;23;;3;10;7;10;;
43A;19;;20;60;30;60;;
43B;19;;60;999;60;999;;
44;20;;5;15;10;15;;
46;18;;4;15;7;15;;
47A;12;;10;15;15;15;;
47B;11;;15;30;30;30;;
48A;25;;4;15;7;15;;
49;32;;4;15;7;15;;
49A;18;;7;30;10;30;;
49B;18;;7;30;10;30;;
5;34;;7;15;10;15;;
5A;28;;6;15;10;15;;
5B;20;;8;15;15;15;;
50B;14;;60;120;60;120;;
51A;14;;7;15;10;15;;
52;22;;7;15;10;15;;
52A;9;;15;30;30;30;;
52B;19;;30;60;60;60;;
57A;16;;5;15;10;15;;
58;19;;7;15;10;15;;
59A;17;;40;999;30;999;;
6;47;;3;15;7;15;;
60;25;;5;15;10;15;;
60A;34;;10;30;15;30;;
61A;21;;15;30;30;30;;
62;39;;7;15;10;15;;
62A;22;;6;15;10;15;;
63A;33;;6;15;10;15;;
64A;24;;30;30;30;999;;
65A;28;;10;15;10;15;;
66A;38;;7;15;10;15;;
67;36;;4;15;7;15;;
67A;18;;10;30;20;30;;
68A;13;;4;15;10;15;;
69A;27;;6;15;10;15;;
7A;22;;5;15;10;15;;
7B;6;;7;999;999;999;;
70A;17;;15;30;20;999;;
71;40;;5;15;10;15;;
71A;21;;10;15;10;15;;
72A;18;;15;999;15;999;;
73A;14;;6;15;10;15;;
74A;13;;7;15;10;15;;
76A;27;;15;60;20;999;;
77A;26;;10;999;10;999;;
8A;14;;10;15;10;15;;
80A;13;;10;15;15;15;;
82A;9;;15;999;15;999;;
84A;5;;15;15;15;15;;
85A;9;;7;30;10;30;;
86A;12;;7;999;30;999;;
87A;21;;30;999;30;999;;
88A;11;;7;30;30;30;;
88B;15;;15;30;30;30;;
89A;16;;20;999;30;999;;
9;35;;6;10;10;15;;
9A;11;;10;999;15;999;;
92A;24;;5;30;15;30;;
92B;21;;30;999;15;999;;
93A;29;;7;30;15;30;;
94A;17;;6;15;15;15;;
95A;26;;10;30;15;30;;
95B;7;;10;999;999;999;;
96B;9;;15;999;999;999;;
97A;19;;10;30;15;30;;
98A;33;;15;999;999;999;;
99A;15;;15;30;30;30;;
99B;14;;15;30;30;30;;
